download url,date
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2386.mp3,"2386 - October 7, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2387.mp3,"2387 - October 8, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2388.mp3,"2388 - October 9, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2389.mp3,"2389 - October 15, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2390.mp3,"2390 - October 16, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2391.mp3,"2391 - November 4, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2392.mp3,"2392 - November 5, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2393.mp3,"2393 - November 6, 2024 .mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2394.mp3,"2394 - November 12, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2395.mp3,"2395 - November 13, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2396.mp3,"2396 - December 2, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2397.mp3,"2397 - December 3, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2398.mp3,"2398 - December 4, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2399.mp3,"2399 - December 9, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2400.mp3,"2400 - December 10, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2401.mp3,"2401 - December 11, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2402.mp3,"2402 - January 10, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2403.mp3,"2403 - January 13, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2404.mp3,"2404 - January 14, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2405.mp3,"2405 - January 15, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2406.mp3,"2406 - January 21, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2407.mp3,"2407 - January 22, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2408.mp3,"2408 - February 24, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2409.mp3,"2409 - February 25, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2410.mp3,"2410 - February 26, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2411.mp3,"2411 - March 3, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2412.mp3,"2412 - March 4, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2413.mp3,"2413 - March 5, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2414.mp3,"2414 - March 24, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2415.mp3,"2415 - March 25, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2416.mp3,"2416 - March 26, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2417.mp3,"2417 - March 31, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2418.mp3,"2418 - April 1, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2419.mp3,"2419 - April 2, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2420.mp3,"2420 - April 21, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2421.mp3,"2421 - April 22, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2422.mp3,"2422 - April 23, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2423.mp3,"2423 - April 28, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2424.mp3,"2424 - April 29, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2425.mp3,"2425 - April 30, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2426.mp3,"2426 - May 15, 2025.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2427.mp3,22-Nov-24
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2428.mp3,21-Feb-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2429.mp3,21-Mar-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2430.mp3,17-Apr-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2431.mp3,22-May-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2432.mp3,29-May-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2433.mp3,5-Jun-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2434.mp3,12-Jun-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2435.mp3,18-Jun-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2436.mp3,20-Jun-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2437.mp3,26-Jun-25
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2438.mp3,27-Jun-25